0085525358;20190427;20190429;91600;;1;1
0085526535;20200122;;;;5;0
0085526726;20200226;;;;30;0
0085526996;20200327;;;;5;1
0085527164;20200416;;;;5;0
0085527244;20200430;;;;5;0
0085527359;20200507;;;;2;0
0085527383;20200517;;;;5;0
0085527658;20200731;20200806;144100;;9;0
0085527708;20200930;20200930;152600;;1;0
0085527837;20201021;20201021;140500;INDRA MF;3;1
0085527838;20201021;20201021;140500;INDRA MF;1;1
0085527839;20201021;20201021;140500;INDRA MF;1;1
0085527840;20201021;20201021;140500;INDRA MF;3;1
0085527841;20201021;20201021;140500;INDRA MF;1;1
0085527842;20201021;20201021;140500;INDRA MF;1;1
0085527968;20210112;20210119;120700;INDRA MF;5;1
0085527972;20210112;20210119;120700;INDRA MF;1;1
0085527973;20210112;20210119;120700;INDRA MF;1;1
0085527974;20210112;20210119;104200;INDRA MF;1;1
0085527975;20210112;20210119;104200;INDRA MF;1;1
0085527977;20210112;;;;1;1
0085527978;20210112;20210119;120700;INDRA MF;1;1
0085527989;20210116;;;;1;1
0085528014;20210120;;;;1;1
0085528015;20210120;;;;1;1
0085528016;20210120;;;;1;1
0085528017;20210120;;;;10;1
0085528018;20210120;;;;1;1
0085528037;20210122;;;;1;1
0085528038;20210122;;;;1;1
0085528039;20210122;;;;1;1
0085528048;20210123;;;;5;1
0085528049;20210126;;;;1;1
0085528050;20210126;;;;1;1
0085528051;20210126;;;;1;1
0085528052;20210126;;;;1;1
0085528053;20210126;;;;1;1
0085528054;20210126;;;;1;1
0085528055;20210126;;;;1;1
0085528056;20210126;;;;1;1
0085528057;20210126;;;;1;1
0085528058;20210127;;;;1;1
0085528069;20210202;20210202;135200;;5;0
0085528118;20210224;20210223;165100;TESTING;4;1
0085528119;20210224;20210223;165100;TESTING;5;1
0085528126;20210224;20210224;105400;;1;1
0085528134;20210225;20210224;142400;;5;2
0085528177;20210323;20210331;113000;xxxx;5;1
0085528179;20210323;20210331;113000;xxxx;5;1
0085528199;20210401;20210331;114800;xxxx;5;1
0085528204;20210408;20210407;150800;INDRA;5;1
0085528219;20210414;20210413;124400;;6;1
0085528220;20210415;20210419;145000;TESTING;6;1
0085528221;20210415;20210419;145000;TESTING;6;1
0085528222;20210415;20210419;145000;TESTING;6;1
0085528276;20210519;20210519;134300;TESTING;10;1
0085528282;20210522;20210520;94200;TESTING;45;1
0085528316;20210609;20210608;171400;TESTING;1;1
0085528330;20210617;20210616;134200;TESTING;1;1
0085528331;20210617;;;;2;1
0085528371;20210625;20210624;174700;b333cxo;1;1
0085528372;20210625;20210624;174700;b333cxo;1;1
0085528374;20210625;20210624;174700;b333cxo;1;1
0085528375;20210625;20210624;174700;b333cxo;1;1
0085528376;20210625;20210624;174700;b333cxo;1;1
0085528377;20210625;20210624;174700;b333cxo;1;1
0085528378;20210627;20210628;154800;*****;1;1
0085528379;20210629;20210628;152100;xxxxxx;1;1
0085528382;20210703;20210701;152300;formalitas;10;1
0085528466;20210802;20210801;151900;;2;0
0085528472;20210813;20210814;124000;ROBERT;5;1
0085528502;20210824;20210901;94500;;1;0
0085528524;20210906;;;;2;0
0085528646;20211019;20211019;154000;;2;0
0085528656;20211022;20211021;164700;;1;0
0085528668;20211024;20211022;180900;Formalitas;2;1
0085528707;20211110;20211110;204100;formalitas;2;1
0085528719;20211113;;;formalitas;4;1
0085528720;20211113;;;formalitas;4;1
0085528739;20211116;20211116;155800;Testing;1;1
0095548058;20180423;20180424;133200;UMAR;7;1
0095552407;20190422;;;;2;0
0095552601;20181005;20181015;151300;UMAR;2;1
0095552605;20190422;20190422;132300;;2;0
0095552809;20181029;20181105;101300;UMAR;425;1
0095552849;20190422;;;;2;0
0095552850;20190423;;;;1;0
8000000043;20200827;;;;50;1
